url,engine_capacity,registration_year,mileage,vin_/_chassis_no.,transmission,model_grade,drive_type,dimension,fuel_type,exterior_color,*full_vin/chassis_no._will_be_shown_on_invoice,reference_no.,price,no._of_doors,manufacture_year,no._of_seats,steering,model_code,car_age,FOB (KES),Shipping (KES),Insurance (KES),CIF (KES),Import Duty (KES),Excise Duty (KES),IDF (KES),RDL (KES),VAT (KES),Port Charges (KES),Clearing Fees (KES),Registration (KES),TOTAL COST (KES)
https://carfromjapan.com/cheap-used-subaru-forester-2025-for-sale-69a8bb86113d6c64e18b8b2e,1800,2025,1600.0,SL5008***,Automatic,スポーツ　ＥＸ　ブラックセレクション,4WD,17 m3,Petrol,Other,Auction Grade,CFJ2435595,33697,5,-,5,Right,SL5,1,4363761.5,130000,65456.42,4559217.92,1595726.27,1139804.48,159572.63,91184.36,1167159.79,50000,22500,10000,8795165.45
https://carfromjapan.com/cheap-used-toyota-rav4-2021-for-sale-6a03b349a329fa89fe6c7011,2000,2021,76500.0,MXAA525005***,Automatic,X,2WD,14.3 m3,Petrol,Other,Auction Grade,CFJ2778904,18148,5,-,5,Other,MXAA52,5,2350166.0,130000,35252.49,2515418.49,880396.47,628854.62,88039.65,50308.37,643947.13,50000,22500,10000,4889464.73
https://carfromjapan.com/cheap-used-volvo-xc60-2021-for-sale-69fbcc150202b646cd0ebca6,2000,2021,12000.0,YV1UZL1MCM1782***,Automatic,B5 AWD モメンタム 4WD,4WD,17 m3,Hybrid,Gray,Auction Grade,CFJ2761567,23410,5,-,5,Right,5AA-UB420TXCM,5,3031595.0,130000,45473.92,3207068.92,1122474.12,801767.23,112247.41,64141.38,821009.64,50000,22500,10000,6211208.72
https://carfromjapan.com/cheap-used-toyota-hiace-van-2020-for-sale-69190b132d3d844edddf954f,2700,2020,37400.0,TRH2118009***,Automatic,スーパーＧＬ ダークプライムⅡ,-,19.15 m3,Petrol,Purple,Auction Grade,CFJ1960828,21980,5,-,5,Right,3BF-TRH211K,6,2846410.0,130000,42696.15,3019106.15,1056687.15,905731.84,105668.72,60382.12,797044.02,50000,22500,10000,6027120.01
https://carfromjapan.com/cheap-used-toyota-land-cruiser-2024-for-sale-69ec7e77c15b58c1183b7b63,3500,2024,4000.0,VJA300-4153***,Automatic,ZX,4WD,19.05 m3,Petrol,Pearl,Auction Grade,CFJ2711628,59462,5,-,7,Right,3BA-VJA300W,2,7700329.0,130000,115504.93,7945833.93,2781041.88,2781041.88,278104.19,158916.68,2161266.83,50000,22500,10000,16188705.39
https://carfromjapan.com/cheap-used-subaru-forester-2021-for-sale-69f3dfabb371b16a1d9d802d,1800,2021,61200.0,SK5005***,Automatic,1.8 スポーツ 4WD,4WD,14.47 m3,Petrol,Pearl,Auction Grade,CFJ2735630,16055,5,-,5,Right,4BA-SK5,5,2079122.5,130000,31186.84,2240309.34,784108.27,560077.33,78410.83,44806.19,573519.19,50000,22500,10000,4363731.14
https://carfromjapan.com/cheap-used-subaru-forester-2019-for-sale-69f6846db371b1c47c264024,2000,2019,38300.0,SKE030***,Automatic,アドバンス,4WD,17 m3,Hybrid,Other,Auction Grade,CFJ2748333,19012,5,-,5,Right,SKE,7,2462054.0,130000,36930.81,2628984.81,920144.68,657246.2,92014.47,52579.7,673020.11,50000,22500,10000,5106489.97
https://carfromjapan.com/cheap-used-toyota-hiace-van-2021-for-sale-68a8f81a3f13042e5db0c180,2700,2021,43000.0,TRH221K0097***,Automatic,8ナンバーキャンピング　ノニデル,-,16.5 m3,Petrol,White,Auction Grade,CFJ1572412,32825,4,-,5,Right,3BF-TRH221K,5,4250837.5,130000,63762.56,4444600.06,1555610.02,1333380.02,155561.0,88892.0,1173374.42,50000,22500,10000,8833917.52
https://carfromjapan.com/cheap-used-toyota-hiace-van-2020-for-sale-69d796cfb117fa633caf75cc,2000,2020,30000.0,TRH200-0322***,Automatic,ロングDX ウェルキャブ,-,16.5 m3,Petrol,White,Auction Grade,CFJ2623253,21823,4,-,-,-,3BF-TRH200K,6,2826078.5,130000,42391.18,2998469.68,1049464.39,749617.42,104946.44,59969.39,767608.24,50000,22500,10000,5812575.55
https://carfromjapan.com/cheap-used-toyota-land-cruiser-prado-2021-for-sale-6a0283e8d32bf975e0aed337,2700,2021,28500.0,TRJ1500130***,Automatic,-,4WD,17.13 m3,Petrol,Black,Auction Grade,CFJ2776115,26884,5,-,-,Right,3BA-TRJ150W,5,3481478.0,130000,52222.17,3663700.17,1282295.06,1099110.05,128229.51,73274.0,967216.84,50000,22500,10000,7296325.63
